        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , PWR_SRC Power Draw [W] , PWR_SRC Voltage [V] , Power Consumption (%) [% TDP] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2024-04-20 13:02:56 ,        2490.0   ,           2062.7   ,               59.3   ,        68.2   ,                47   ,                  1555   ,                47   ,                  1556   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              109.6   ,                  62.1   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9700   ,               46.0   ,                  7119   ,
2024-04-20 13:02:57 ,        2535.0   ,           2062.7   ,               58.9   ,        67.8   ,                47   ,                  1554   ,                47   ,                  1556   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              115.3   ,                  67.8   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9750   ,               49.0   ,                  7119   ,
2024-04-20 13:02:58 ,        2520.0   ,           2062.7   ,               57.0   ,        62.9   ,                47   ,                  1553   ,                47   ,                  1555   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              115.0   ,                  67.5   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9750   ,               48.0   ,                  7117   ,
2024-04-20 13:02:59 ,        2475.0   ,           2062.7   ,               57.2   ,        63.4   ,                47   ,                  1553   ,                47   ,                  1555   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              123.4   ,                  75.9   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9600   ,               45.0   ,                  7120   ,
2024-04-20 13:03:00 ,        2460.0   ,           2062.7   ,               57.4   ,        63.7   ,                47   ,                  1554   ,                47   ,                  1557   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              129.1   ,                  81.6   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9700   ,               47.0   ,                  7120   ,
2024-04-20 13:03:01 ,        2490.0   ,           2062.7   ,               57.4   ,        63.8   ,                47   ,                  1557   ,                47   ,                  1556   ,           5392   ,         99   ,                       98   ,                   0   ,                    0   ,              123.9   ,                  76.4   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9700   ,               47.0   ,                  7120   ,
2024-04-20 13:03:02 ,        2535.0   ,           2062.7   ,               57.5   ,        64.2   ,                47   ,                  1558   ,                47   ,                  1556   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              114.8   ,                  67.3   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9950   ,               47.0   ,                  7117   ,
2024-04-20 13:03:03 ,        2505.0   ,           2062.7   ,               56.5   ,        62.2   ,                47   ,                  1559   ,                47   ,                  1557   ,           5392   ,         99   ,                       98   ,                   0   ,                    0   ,              108.0   ,                  60.5   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9950   ,               49.0   ,                  7120   ,
2024-04-20 13:03:04 ,        2580.0   ,           2062.7   ,               58.1   ,        65.7   ,                47   ,                  1558   ,                47   ,                  1557   ,           5392   ,         99   ,                       98   ,                   0   ,                    0   ,              106.1   ,                  58.6   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        1.0000   ,               47.0   ,                  7121   ,
2024-04-20 13:03:05 ,        2565.0   ,           2062.7   ,               60.7   ,        70.8   ,                47   ,                  1556   ,                47   ,                  1559   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              107.3   ,                  59.8   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9500   ,               45.0   ,                  7121   ,
2024-04-20 13:03:06 ,        2460.0   ,           2062.7   ,               57.0   ,        62.9   ,                47   ,                  1558   ,                47   ,                  1558   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              109.2   ,                  61.7   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9600   ,               51.0   ,                  7119   ,
2024-04-20 13:03:07 ,        2505.0   ,           2062.7   ,               60.2   ,        71.2   ,                47   ,                  1558   ,                47   ,                  1558   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              118.8   ,                  71.3   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9750   ,               45.0   ,                  7116   ,
2024-04-20 13:03:08 ,        2535.0   ,           2062.7   ,               58.8   ,        67.3   ,                47   ,                  1559   ,                47   ,                  1559   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              119.3   ,                  71.8   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9900   ,               45.0   ,                  7120   ,
2024-04-20 13:03:09 ,        2505.0   ,           2062.7   ,               60.0   ,        69.7   ,                47   ,                  1558   ,                47   ,                  1558   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              118.6   ,                  71.1   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9750   ,               47.0   ,                  7120   ,
2024-04-20 13:03:10 ,        2460.0   ,           2062.7   ,               57.5   ,        65.0   ,                47   ,                  1558   ,                47   ,                  1557   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              122.3   ,                  74.8   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9500   ,               48.0   ,                  7117   ,
2024-04-20 13:03:11 ,        2490.0   ,           2062.7   ,               57.2   ,        63.2   ,                47   ,                  1558   ,                47   ,                  1559   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              125.2   ,                  77.7   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9650   ,               47.0   ,                  7118   ,
2024-04-20 13:03:12 ,        2460.0   ,           2062.7   ,               57.2   ,        63.1   ,                47   ,                  1559   ,                47   ,                  1559   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              130.5   ,                  83.0   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9500   ,               47.0   ,                  7118   ,
2024-04-20 13:03:13 ,        2460.0   ,           2062.7   ,               57.2   ,        63.3   ,                47   ,                  1558   ,                47   ,                  1558   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              127.2   ,                  79.7   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9500   ,               48.0   ,                  7119   ,
2024-04-20 13:03:14 ,        2445.0   ,           2062.7   ,               57.2   ,        63.6   ,                47   ,                  1558   ,                47   ,                  1558   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              123.6   ,                  76.1   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9450   ,               47.0   ,                  7119   ,
2024-04-20 13:03:15 ,        2430.0   ,           2062.7   ,               57.1   ,        63.4   ,                47   ,                  1559   ,                47   ,                  1560   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              114.2   ,                  66.7   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9600   ,               44.0   ,                  7116   ,
2024-04-20 13:03:16 ,        2565.0   ,           2062.7   ,               57.8   ,        64.5   ,                47   ,                  1560   ,                47   ,                  1559   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              128.8   ,                  81.3   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9750   ,               48.0   ,                  7119   ,
2024-04-20 13:03:17 ,        2565.0   ,           2062.7   ,               58.0   ,        65.0   ,                47   ,                  1559   ,                47   ,                  1560   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              115.7   ,                  68.2   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        1.0000   ,               46.0   ,                  7118   ,
2024-04-20 13:03:18 ,        2580.0   ,           2062.7   ,               58.1   ,        65.1   ,                47   ,                  1559   ,                47   ,                  1560   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              114.6   ,                  67.1   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        1.0000   ,               49.0   ,                  7118   ,
2024-04-20 13:03:19 ,        2490.0   ,           2062.7   ,               57.5   ,        64.5   ,                47   ,                  1559   ,                47   ,                  1561   ,           5392   ,         99   ,                       97   ,                   0   ,                    0   ,              103.7   ,                  56.2   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9750   ,               49.0   ,                  7118   ,
2024-04-20 13:03:20 ,        2550.0   ,           2062.7   ,               58.8   ,        67.6   ,                47   ,                  1560   ,                47   ,                  1560   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              110.7   ,                  63.2   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        1.0000   ,               49.0   ,                  7116   ,
2024-04-20 13:03:21 ,        2505.0   ,           2062.7   ,               58.4   ,        66.0   ,                47   ,                  1560   ,                47   ,                  1560   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              114.2   ,                  66.7   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        1.0000   ,               49.0   ,                  7118   ,
